lighter,0.914589,0.314429,0.282017,0.0524221
lighter,0.816389,0.491969,0.209731,0.0159256
lighter,0.880141,0.333652,0.277167,0.0489062
lighter,0.851279,0.457804,0.213312,0.0191701
lighter,0.817033,0.514048,0.197227,0.0122927
lighter,0.840912,0.574592,0.190285,0.00972021
lighter,0.856398,0.455484,0.215354,0.0191803
lighter,0.843693,0.390238,0.239506,0.0298757
lighter,0.876437,0.397207,0.23742,0.0291404
lighter,0.838453,0.565714,0.189139,0.00902521
rs,0.739343,0.354019,0.297531,0.0590452
clippers,0.708353,0.412869,0.251429,0.0362256
clippers,0.753812,0.358025,0.281851,0.0523185
clippers,0.752401,0.413151,0.246838,0.0302982
clippers,0.802063,0.357022,0.272651,0.0467144
clippers,0.810035,0.350591,0.271978,0.0460709
clippers,0.776748,0.318176,0.298539,0.0618074
clippers,0.769408,0.447135,0.214966,0.0196619
clippers,0.8646,0.298279,0.313745,0.070938
clippers,0.782265,0.335487,0.284971,0.0538257
clippers,0.774573,0.438709,0.225797,0.0234792
squeezee,0.648853,0.475298,0.25401,0.0293484
squeezee,0.550544,0.678369,0.251622,0.0154344
squeezee,0.578696,0.924453,0.220641,0.0021553
squeezee,0.56154,0.638751,0.25349,0.0184353
squeezee,0.508618,0.62053,0.279526,0.0261295
squeezee,0.54239,0.673183,0.24947,0.0155465
squeezee,0.548568,0.578933,0.252725,0.0218372
squeezee,0.643633,0.555376,0.248874,0.0197752
squeezee,0.629832,0.483431,0.263571,0.0286146
squeezee,0.607797,0.885173,0.213469,0.00324383
squeezee,0.566343,0.497205,0.278267,0.0325836
carrabeaner,0.685995,0.452779,0.280413,0.0346798
carrabeaner,0.617927,0.550669,0.270238,0.0189506
carrabeaner,0.553004,0.515818,0.321942,0.0342463
carrabeaner,0.544192,0.641375,0.297921,0.0128395
carrabeaner,0.436094,0.78826,0.430046,0.00638908
carrabeaner,0.572234,0.595395,0.286586,0.0173928
pen,0.814545,0.130732,0.733048,0.509417
pen,0.833196,0.175046,0.520814,0.243768
pen,0.696712,0.157665,0.689281,0.444454
pen,0.798412,0.226081,0.424294,0.151871
pen,0.728817,0.153125,0.702608,0.464456
pen,0.809713,0.193438,0.482634,0.204845
pen,0.688584,0.217531,0.474347,0.195531
pen,0.761031,0.221017,0.441222,0.166794
pen,0.689076,0.190226,0.552284,0.274746
pen,0.853011,0.142767,0.626047,0.364618
pen,0.663665,0.233545,0.462172,0.183527
pen,0.841597,0.140922,0.64599,0.389629
key,0.610076,0.338529,0.35967,0.0928815
key,0.622293,0.413371,0.287908,0.0478812
key,0.610138,0.363223,0.351833,0.0861745
key,0.562584,0.867866,0.189847,0.000497603
key,0.587885,0.612862,0.247332,0.0202679
key,0.586452,0.227799,0.560347,0.279739
key,0.607069,0.313687,0.370465,0.102167
key,0.585434,0.246165,0.458282,0.175968
key,0.622472,0.304187,0.380925,0.109686
key,0.639472,0.989561,0.185872,4.52312e-05
key,0.644683,0.681854,0.200278,0.00566741
key,0.60588,0.303117,0.398622,0.123306
key,0.639406,0.326389,0.357602,0.0933634
carrabeaner,0.70424,0.425408,0.281534,0.0397662
carrabeaner,0.663168,0.890662,0.215834,0.00169722
carrabeaner,0.726763,0.445919,0.259015,0.0324793
carrabeaner,0.828959,0.351641,0.264498,0.0435554
carrabeaner,0.676159,0.539512,0.239106,0.0180802
carrabeaner,0.711306,0.969466,0.20888,0.000857689
carrabeaner,0.604641,0.477886,0.306944,0.0334131
carrabeaner,0.688116,0.893949,0.213584,0.000679093
carrabeaner,0.545222,0.524712,0.323318,0.0281015
carrabeaner,0.636232,0.511575,0.282869,0.0301972
carrabeaner,0.596335,0.540541,0.276707,0.0322524
carrabeaner,0.589966,0.616758,0.28126,0.0153313
carrabeaner,0.610452,0.956422,0.25159,0.00118933
squeezee,0.608123,0.660308,0.230244,0.0127087
squeezee,0.58006,0.545986,0.240141,0.0222827
clippers,0.77254,0.285225,0.347336,0.0929967
clippers,0.824914,0.321731,0.270826,0.0457202
carrabeaner,0.680928,0.42867,0.287576,0.0394648
lighter,0.833292,0.35751,0.262175,0.0400078
watch,0.705422,0.411755,0.253102,0.0352155
watch,0.711732,0.463012,0.234185,0.026038
watch,0.684121,0.363154,0.312337,0.0641378
watch,0.789494,0.518205,0.204705,0.0153955
watch,0.776918,0.541749,0.218491,0.0191632
watch,0.677173,0.427787,0.26287,0.0402832
watch,0.677725,0.563463,0.223555,0.0212657
watch,0.681594,0.532656,0.239456,0.0284109
watch,0.752015,0.341464,0.299607,0.0585647
